STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MATERIAL,Materials,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,AUT,Austria,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,295.752,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,AUT,Austria,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,299.14,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,BEL,Belgium,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,351.186,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,BEL,Belgium,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,369.25,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,CHL,Chile,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,7.7222068,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,CHL,Chile,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,11.117851070666,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,CHL,Chile,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2021,,15.152472905,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,CZE,Czechia,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,264.276,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,CZE,Czechia,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,264.453,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,DNK,Denmark,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,231.405,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,EST,Estonia,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,53.602,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,FIN,Finland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,133.743,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,FIN,Finland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,157.114,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,FRA,France,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,2390.254,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,FRA,France,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,2411.592,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,DEU,Germany,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,3302.5,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,HUN,Hungary,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,342.188,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,ISL,Iceland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,17.492,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,ISL,Iceland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,14.445,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,IRL,Ireland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,319.082,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,IRL,Ireland,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,306.699,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,ITA,Italy,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2019,,2314.389,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WSTREAMS@DF_WSTREAMS(1.0),"Waste - Selected waste streams: generation, recovery and recycling",I,ITA,Italy,A,Annual,GEN,Waste generated,T,Tonnes,PACK_PLASTIC,Packaging - plastic,2020,,2208.576,,A,Normal value,3,Thousands,2,Two
